No;Nama Produk;Kategori;Quantity (g or mL);Sugar /100 g;Natrium /100 g;Kandungan Gula (g);Kandungan Natrium (mg);Sugar Level;Natrium Level;Persen Gula Harian;Persen Natrium Harian;Senyawa Utama;Bahaya Berlebih
1;Oreo Original;Snack Manis;154.00;37.20;0.30;57.29;460.46;GAWAT;WASPADA;114.58;23.02;Sukrosa (Gula sederhana), Lipida (Lemak nabati);Dapat memicu risiko diabetes, obesitas serta menyebabkan karies atau gigi berlubang
2;Kinder Joy;Snack Manis;20.00;50.00;0.13;10.00;25.00;WASPADA;AMAN;20.00;1.25;Sukrosa, Asam Lemak Jenuh (Saturate fats);Dapat memicu sindrom metabolik pada anak usia dini, meningkatkan kadar kolesterol, serta kecanduan akan rasa manis
3;Roma Kelapa;Snack Manis;300.00;21.73;0.13;65.19;390.00;GAWAT;WASPADA;130.38;19.50;Amilum (Tepung terigu), Lipida;Dapat menyebabkan penyumbatan pembuluh darah, hingga memicu lonjakan gula darah yang drastis
4;Beng Beng;Snack Manis;26.50;33.96;0.28;9.00;74.20;WASPADA;AMAN;18.00;3.71;Sukrosa, Maltodextrin, Lemak Jenuh;Dapat meningkatkan kadar kolesterol, memicu serangan jantung hingga stroke
5;Nextar Nastar;Snack Manis;42.00;9.52;0.07;4.00;29.40;AMAN;AMAN;8.00;1.47;Amilum, Fruktosa (dari selai nanas), Lemak Jenuh;Dapat meningkatkan gula darah kronis, menyebabkan resistensi insulin, hingga penumpukan lemak berlebih
6;Kopiko 1 Pack;Snack Manis;150.00;67.10;0.11;100.65;168.00;GAWAT;WASPADA;201.30;8.40;Sukrosa, Sirup Glukosa, Kafein;Dapat menyebabkan jantung berdebar dengan tidak normal, gangguan hormon melatonin, hingga lonjakan gula darah yang tinggi
7;Permen Mentos;Snack Manis;38.00;69.00;0.04;26.22;15.20;GAWAT;AMAN;52.44;0.76;Sirup Glukosa, Sukrosa;Dapat menyebabkan pengikisan lapisan pelindung gig serta penumpukan kalori berlebih
8;KitKat;Snack Manis;41.50;43.50;0.06;18.05;24.90;GAWAT;AMAN;36.11;1.25;Asam Lemak Jenuh (Kakao), Sukrosa;Dapat menyebabkan penyumbatan pembuluh darah, meningkatkan kadar kolesterol, hingga memicu serangan jantung dan stroke
9;Pocky Chocolate;Snack Manis;45.00;37.77;0.17;17.00;76.50;GAWAT;AMAN;33.99;3.83;Amilum, Sukrosa, Lemak Jenuh;Dapat menyebabkan obesitas serta resistensi insulin
10;Better Sandwich Biscuit;Snack Manis;22.00;21.16;0.87;4.66;190.74;AMAN;WASPADA;9.31;9.54;Amilum, Lipida, Sukrosa;Dapat menyebabkan penumpukan kalori serta merusak keseimbangan pengaturan energi dalam tubuh
11;Nabati Wafer Coklat;Snack Manis;37.00;33.33;0.16;12.33;59.20;WASPADA;AMAN;24.66;2.96;Amilum, Sukrosa, Lemak Trans/Jenuh;Dapat menurunkan kadar kolesterol HDL yang berfungsi untuk membersihkan kelebihan lemak dari dinding pembuluh darah serta menyebabkan penyumbatan pembuluh darah
12;Chocolatos Dark;Snack Manis;16.00;35.71;0.63;5.71;100.00;WASPADA;AMAN;11.43;5.00;Sukrosa, Lemak Nabati;Dapat menyebabkan obesitas serta sindrom kecanduan makanan (food addiction) akibat stimulasi reseptor kesenangan di otak secara berlebih
13;Indomie Goreng Special;Snack Asin;85.00;7.70;0.26;6.55;220.66;WASPADA;WASPADA;13.09;11.03;Natrium (Sodium), Mononatrium Glutamat (MSG), Amilum;Dapat menyebabkan kelebihan cairan dalam tubuh hingga memicu gagal ginjal dan penyakit tekanan darah tinggi
14;Chitato Rasa Indomie Goreng;Snack Asin;55.00;7.00;0.48;3.85;261.25;AMAN;WASPADA;7.70;13.06;Asam Lemak Trans (Minyak goreng), Natrium, MSG;Dapat menyebabkan peradangan pada dinding pembuluh darah, penimbunan lemak dan natrium berlebih dalam darah, hingga memicu risiko penyakit jantung koroner
15;Pringles Potato Crisp;Snack Asin;175.00;1.40;0.44;2.45;770.00;AMAN;GAWAT;4.90;38.50;Natrium, Amilum, Lemak Jenuh;Dapat menyebabkan penumpukan garam dalam sel tubuh, memicu kekakuan dan penyumbatan pembuluh darah yang menyebabkan stroke
16;Roma Malkist Abon;Snack Asin;21.00;3.00;0.04;0.63;8.82;AMAN;AMAN;1.26;0.44;Amilum, Lipida, Natrium;Dapat menyebabkan penumpukan lemak yang memicu obesitas serta menyebabkan penyakit darah tinggi dan gagal ginjal
17;Kusuka Keripik Singkong;Snack Asin;180.00;5.00;0.35;9.00;630.00;WASPADA;GAWAT;18.00;31.50;Asam Lemak Trans (Minyak deep frying), Natrium;Dapat memicu tekanan darah tinggi, serangan jantung, serta stroke akibat konsumsi natrium berlebih
18;Chitato Sapi Panggang;Snack Asin;68.00;0.00;115.00;0.00;78200.00;AMAN;GAWAT;0.00;3910.00;Natrium, MSG, Lemak Jenuh;Dapat menyebabkan penyakit tekanan darah tinggi, gangguan ginjal dalam mengekresi makanan, hingga sakit kepala bagi penderita yang sensitif akan MSG
19;Chiki Twist Jagung Bakar;Snack Asin;75.00;2.34;1.34;1.76;1005.00;AMAN;GAWAT;3.52;50.25;Natrium, MSG, Amilum;Dapat menyebabkan kerusakan lapisan pembuluh darah hingga mengacaukan keseimbangan garam alami dalam tubuh
